2020-04-06 05:22:42 status unpacked libc6:armhf 2.23-0ubuntu3
2020-04-06 05:22:42 install libcap2:armhf <none> 1:2.24-12
2020-04-06 05:22:42 status half-installed libcap2:armhf 1:2.24-12
2020-04-06 05:22:42 status unpacked libcap2:armhf 1:2.24-12
2020-04-06 05:22:42 status unpacked libcap2:armhf 1:2.24-12
2020-04-06 05:22:42 install libcap2-bin:armhf <none> 1:2.24-12
2020-04-06 05:22:42 status half-installed libcap2-bin:armhf 1:2.24-12
2020-04-06 05:22:42 status unpacked libcap2-bin:armhf 1:2.24-12
2020-04-06 05:22:42 status unpacked libcap2-bin:armhf 1:2.24-12
2020-04-06 05:22:42 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2020-04-06 05:22:42 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:42 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:42 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:42 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2020-04-06 05:22:42 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2020-04-06 05:22:42 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2020-04-06 05:22:42 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2020-04-06 05:22:42 install libdb5.3:armhf <none> 5.3.28-11
2020-04-06 05:22:42 status half-installed libdb5.3:armhf 5.3.28-11
2020-04-06 05:22:42 status unpacked libdb5.3:armhf 5.3.28-11
2020-04-06 05:22:42 status unpacked libdb5.3:armhf 5.3.28-11
2020-04-06 05:22:42 install libdebconfclient0:armhf <none> 0.198ubuntu1
2020-04-06 05:22:42 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2020-04-06 05:22:42 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2020-04-06 05:22:42 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2020-04-06 05:22:42 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2020-04-06 05:22:42 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2020-04-06 05:22:42 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2020-04-06 05:22:42 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2020-04-06 05:22:42 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2020-04-06 05:22:42 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:42 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:42 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:42 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2020-04-06 05:22:42 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2020-04-06 05:22:42 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2020-04-06 05:22:42 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2020-04-06 05:22:42 install libgcrypt20:armhf <none> 1.6.5-2
2020-04-06 05:22:42 status half-installed libgcrypt20:armhf 1.6.5-2
2020-04-06 05:22:42 status unpacked libgcrypt20:armhf 1.6.5-2
2020-04-06 05:22:42 status unpacked libgcrypt20:armhf 1.6.5-2
2020-04-06 05:22:42 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2020-04-06 05:22:42 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2020-04-06 05:22:42 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2020-04-06 05:22:42 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2020-04-06 05:22:42 install libkmod2:armhf <none> 22-1ubuntu4
2020-04-06 05:22:42 status half-installed libkmod2:armhf 22-1ubuntu4
2020-04-06 05:22:42 status unpacked libkmod2:armhf 22-1ubuntu4
2020-04-06 05:22:42 status unpacked libkmod2:armhf 22-1ubuntu4
2020-04-06 05:22:42 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2020-04-06 05:22:42 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2020-04-06 05:22:42 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2020-04-06 05:22:42 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2020-04-06 05:22:42 install libmount1:armhf <none> 2.27.1-6ubuntu3
2020-04-06 05:22:42 status half-installed libmount1:armhf 2.27.1-6ubuntu3
